start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 6: Bisection Search Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,BISECTION SEARCH (download slides and py files to io! owaiong 6.100L Lecture 6 Ana Bell EEEE
14.0,(download shdes 6.100L Lecture 6 Ana Bell EEEE
20.0,90
28.0,BISECTION SEARCH (download slides and .py files to follow along. 6.100L Lecture 6 Ana Bell
36.0,Gu a p Ap Ch 5.42 sO
38.0,e C S
40.0,51
42.0,d A C S
44.0,a
46.0,OC ap .Ap Ch sO
50.0,LAST LECTURE Floating point numbers introduce challenges! They can't be represented in memory exactly Operations on floats introduce tiny errors Multiple operations on floats magnify errors : Guess-and-check enumerates ints one at a time as a solution to a problem Approximation methods enumerate using a float increment. Checking a solution is not possible. Checking whether a. solution yields a value within epsilon is possible!. 6.100L Lecture 6
156.0,Guess a prob - Appro Check solutic
158.0,Gue a pro App Che solu
162.0,5
166.0,LAST LECTURE Floating point numbers introduce challenges! They can't be represented in memory exactly Operations on floats introduce tiny errors Multiple operations on floats magnify errors : Guess-and-check enumerates ints one at a time as a solution to a problem Approximation methods enumerate using a float increment. Checking a solution is not possible. Checking whether a. solution yields a value within epsilon is possible!. 6.100L Lecture 6
176.0,RECAP: SOUARE ROOT FINDING: STOPPING CONDITION with a BIG INCREMENT (O.O1) Blue arrow is the guess Green arrow is guess**2 X= 54321 epsilon' epsilon 6.100L Lecture 6
270.0,"RECAP of APPROXIMATION METHOD TC x = 54321 epsilon = 0.01 num guesses = 0 guess = 0.0 increment = 0.0001 while absguess**2 - x >= epsilon and quess**2 <= x: guess += increment num_guesses += 1 print('num_guesses =', num_guesses) if absguess**2 -x) >= epsilon: print('Failed on square root of', x) else: print(guess, 'is close to square root of', x) 6.100L Lecture 6"
280.0,"RECAP of APPROXIMATION METHOD TC FIND A ""cIose enough"" SQUARE ROOT x = 54321 epsilon = 0.01 num guesses = 0 guess = 0.0 Stop when you go past the last reasonable guess increment = 0.0001 while abs(guess**2 - x) >= epsilon and guess**2 <= x: guess += increment num_guesses += 1 print('num_guesses =', num_guesses) if absguess**2 - x) >= epsilon: print('Failed on square root of', x) else: print(guess, 'is close to square root of', x) 6.100L Lecture 6"
336.0,"RECAP of APPROXIMATION METHOD TC FIND A ""close enough""SQUARE ROOT X=54321 epsilon =0.01 num guesses =0 guess =0.0 Stop when you are within epsilon, Stop when you go past the last i.e.close enough reasonable guess increment = 0.0001 whi abs(guess**2 >= epsilon guess**2<=x guess += increment num guesses += 1 int('num_guesses =', num_guesses) if absguess**2-x)>= epsilon: Qrint('Failed on qusre rootof'x else: print(guess,is close ta square raot of', x) 6.100L Lecwre6"
344.0,"RECAP of APPROXIMATION METHOD TC FIND A ""cIose enough"" SQUARE ROOT x = 54321 epsilon = 0.01 num guesses = 0 guess = 0.0 Stop when you are within epsilon,. Stop when you go past the last i.e. close enough reasonable guess increment = 0.0001 while abs(guess**2 - x) >= epsilon and guess**2 <= x: guess += increment num_guesses += 1 print('num_guesses =', num_guesses) if abs(guess**2 - x) >= epsilon: print('Failed on square root of', x) else: print(guess, 'is close to square root of', x) 6.100LLecture 6"
370.0,"RECAP ofAPPROXIMATION METHOD TO FIND A ""close enough""SQUARE ROOT X=54321 epsilon =0.01 num_guesses =0 guess=0.0 Stop when you are within epsilon, Stop when you go past the last i.e.close enough reasonable guess increment =0.0001 while abs(guess**2 -x) >=epsilon and guess**2 <= x: guess += increment num guesses +=1 print('num_guesses =', num_guesses Exited the loop because if absguess**2-x) >= epsilon: print('Failed on square root of', x) else: got close enough to x print(guess, is close to square root of', x) 6.100L Lecture 6"
376.0,"RECAP of APPROXIMATION METHOD TC FIND A ""cIose enough"" SQUARE ROOT X=54321 epsilon =0.01 num guesses =0 guess=0.0 Stop when you are within epsilon, Stop when you go past the last i.e.close enough reasonable guess increment=0.0001 while abs(guess**2 -x) >= epsilon and guess**2<=x: guess += incremen num guesses += 1 Exited the loop because if abs(guess**2 - x) >= epsilon: print('Failed on square rootof'x) else: got close enough to x print(guess, 'is cl to square root of', x) 6.100L Lecture 6"
378.0,"RECAP of APPROXIMATION METHOD TC FIND A ""cIose enough"" SQUARE ROOT X=54321 epsilon =0.01 num guesses =0 guess =0.0 Stop when you are within epsilon, Stop when you go past the last i.e.close enough reasonable guess increment =0.0001 while absquess** x)>=epsilon and guess**2 <=x: guess += increment um_guesses +=1 print('num_guesses = ',num_guesses) Exited the loop because uoed =<x +ssanb)sqe print('Failed on squar rootof',x) else got close enough to x print (guess, 'is uso ro square root of', x) 6.100L Lecture 6"
380.0,"RECAP of APPROXIMATIONMETHODTC FIND A ""cIose enough"" SQUARE ROOT x=54321 epsilon = 0.01 num guesses =0 guess =0.0 Stop when you are within epsilon, Stop when you go past the last i.e. close enough reasonable guess increment =0.0001 while abs(guess**2 - x) >= epsilon and guess**2 <= x: guess += increment num_guesses += 1 print('num guesses =', num_guesses) Exited the loop because if absguess**2 -x >epsilon: further guesses are unreasonable print('Failed on square root of',x) else: got close enough to x print(guess, 'is close to square root of', x) 6.100L Lecture 6"
400.0,"\Users\anabe\Do ments)MIT,6.0001L)/fa22)Lectures)/ec6.py ource Conso Objec ec6.py* Adb 1 # Recall the approximation method code to find the Console 1/A 2 X=54321 In [22]: 3 epsion = 0.01 4 Convert a string or number to a floating point number, if possible. 5 Click anywhere in this tooltip for additional help 6 1ncrement=0.ooo# tryt witn 0.o0 In [22]: 7 while abs(guess**2 - x) >= epsilon and guess**2 <= 8 # absguess**2 -x) >= epsilon finds a ""good en In [22]: 9 # guess**2 <=x ensures we stop Looking when th 10 guess += increment In [22]: 11 num_guesses += 1 12 print(f'num_guesses ={num_guesses}') In [22]: 13 14 # this ""if"" is for thecasewhen we stopped the Loo In [22]: 15 if abs(guess**2 - x) >= epsilon: 16 print(f'Failed on square root of {x}) In [22]: 17 printf'Last guess was {guess}') 18 print(f'Last guess squared is {guess*guess}) In [22]: 19 # this ""else""is for thecase when we stopped the l 20 else: In [22]: 21 printf'{guess} is close to square root of {x} 22 In [23]: 23 LSP Python:ready condaPython3.8.5 Line 4, Col 16 Mem 61 +"
402.0,"dle Edit Search Sourge Bun Debug Cgnsoles Projects Iools View Help \Users\anabe ments\MIT,6.0001L)(fa22\(Lectures)/ec6.py lec6.py* mq3.py 1 # Recall the approximation method code to find the 2 X= 54321 3 epsiint[x] -> integer intx, base=10 ->integer 4 num_ 5 guesConvert a number or string to an integer, or return 0 if no arguments are given. If 6 incrx is a number, return x. int . For floating point numbers, this truncates 7 whiltowards zero. 8 9 If x is not a number or if base is given then x must be a string bytes or 10 bytearray instance representing an integer literal in the given base. The literal 11 can be preceded by '+' or '- and be surrounded by whitespace. The base defaults to 12 13 14 # th>>>int'0b100, base=0) 4 15 if aclick anywhere in this tooltip for additional help 16 printf'Failed on square root of {x}') In [22]: 17 printf'Last guess was {guess}') 18 print(f'Last guess squared is {guess*guess}') In [22]: 19 # this ""else""is for the case when we stopped the l 20 else: In [22]: 21 printf'{guess} is close to square root of {x} 22 In [23]: 23 LSP Python:ready condaPython 3.8.5 lem 62"
