start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 19: Inheritance Ana Bell MIt OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information MIT OCW c BYNCSA
24.0,JGHTS
26.0,UGHTS -
28.0,IGHTS
32.0,Talking: Ana Bell NHERITANCE (download slides and .py files to follow along 6.100L Lecture 19 Ana Bell
52.0,WHY USE OOP AND CLASSES OF OBJECTS? Mimic real life Group different objects part of the same type
64.0,WHY USE OOP AND CLASSES OF OBJECTS? Talking: Ana Bell Mimic real life Group different objects part of the same type 6.100L Lecture 19
80.0,WHY USE OOP AND CLASSES OF OBJECTS? Talking: Ana Bell Mimic real life Group different objects part of the same type Instance: Jelly 1 year old brown Instance: Bean Instance: O years old Tiger black 2 years old brown 6.100L Lecture 19
110.0,WHY USE OOP AND CLASSES OF OBJECTS? Talking: Ana Belld Mimic real life Group different objects part of the same type Instance: Instance: Jelly 5 years old. 1 year old brown brown Instance: Bean Instance: O years old black Instance: Tiger 1 year old 2 years old Instance: M/9 brown 2 years old white 6.100L Lecture 19
118.0,WHY USE OOP AND CLASSES OF OBJECTS? -Mimic real life Group different objects part of the same type Instance: Jelly wn orc Instance: Bean riger old old Instance: own white B
124.0,WHY USE OOP AND CLASSES OF OBJECTS? Mimic real life Group different objects part of the same type Instance: old Instance: Jelly Wr bro Bean Tiger old lo own Or 2 years white
128.0,WHY USE OOP AND CLASSES OF OBJECTS? Mimic real life Group different objects part of the same type
130.0,WHY USE OOP AND CLASSES OF OBJECTS? Talking: Ana Bell Mimic real life Group different objects part of the same type 6.100LLecture 19
136.0,WHY USE OOP AND CLASSES OF OBJECTS? Talking: Ana Bell Mimic real life. Group different objects part of the same type All instances of a type have the same data abstraction and behaviors 6.100L Lecture 19
138.0,GROUPS OF OBJECTS HAVE ATTRIBUTES (RECAP) Data attributes How can you represent your object with data? What it is for a coordinate:x and y values for an animal: age Procedural attributes (behavior/operations/methods) How can someone interact with the object? What it does for a coordinate: find distance between two for an animal: print how long it's been alive 6.100L Lecture 19
220.0,"HOW TO DEFINE A CLASS (RECAP) Talking class Animal(object): def init (self, age): self.age = age self.name = None 6.100L Lecture 19"
236.0,"HOW TO DEFINE A CLASS (RECAP) Talking: Ana Belll class name parent class definition. class Animal object) def init (self, age): self.age = age self.name = None 6.100L Lecture 19"
266.0,"HOW TO DEFINE A CLASS (RECAP) Talking: Ana Bell class Animal(object):. def init (self, age) : self.age = age Special method to self.name = None create an instance 6.100L Lecture 19"
280.0,HOW TO DEFINE A CLASS (RECAP) Talking of the class def init self age) : self.age = age self.name = None 6.100L Lecture 19
292.0,"HOW TO DEFINE A CLASS (RECAP) def -init self, age): self.age = age self.name = None"
306.0,"HOW TO DEFINE A CLASS (RECAP) Talking: Ana Bell of the class def init self, age) : self.age = age self.name = None 6.100L Lecture 19"
322.0,HOW TO DEFINE A CLASS (RECAP) Talking of the class def init self age) What data initializes an Animal type self.age = age self.name = None 6.100L Lecture 19
344.0,HOW TO DEFINE A CLASS (RECAP) of the class self What def -init self.age = age self.name = None
356.0,HOW TO DEFINE A CLASS (RECAP) Talking: Ana Bell of the class def init self age) What data initializes an Animal type self.age = age self.name = None 6.100L Lecture 19
396.0,HOW TO DEFINE A CLASS (RECAP) of the class self age) What def -init self.age = age self.name = None B
410.0,"HOW TO DEFINE A CLASS (RECAP) Talking: Ana Bell class Animal(object): def init self, age): self.age = age self.name = None name is a data attribute even though an instance is not initialized with it as a param 6.100L Lecture 19"
432.0,myanima
436.0,"HOW TO DEFINE A CLASS (RECAP) lass Animal(object): def init (self, age): self.age age self.name = None myanimal = Animal3) 6.100L Lecture 19"
458.0,"HOW TO DEFINE A CLASS (RECAP) Talking: Ana Bell class Animal(object):. def - init (self, age): self.age = age self.name = None. myanimal Animal Mapped to One instance self.age in class def 6.100L Lecture 19"
472.0,HOW TO DEFINE A CLASS (RECAP) class Animal(object): def_init_selfage: self.age = age self.name = None myanimal edto Mappe age de in class
478.0,GETTER AND SETTER METHODS class Animal (object): detinit self age): seLf.name =None det s_seln retucn +str(self.name+str(self.age) Getters and setters should be used outside of class to access data attributes
480.0,"GETTER AND SETTER METHODS Talking: Ana Bell class Animal(object): def init (self, age): self.age = age self.name = None def -str (self): return ""animal:""+str(self.name)+"":""+str(self.age) Getters and setters should be used outside of class to access data attributes 6.100L Lecture 19"
506.0,"GETTER AND SETTER METHODS elass Animal(object): der init self, age): self.age =age self.name-None def str self: retur ""anmal:""+str(self.name""+str(self.age) Getters and setters should be used outside of class to access data attributes B"
512.0,"GETTER AND SETTER METHODS = Talking: Ana Bell class Animal(object): def init (self, age): self.age = age self.name = None def -str (self): return ""animal:""+strself.name)+"":""+str(self.age) Getters and setters should be used outside of class to access data attributes 6.100L Lecture 19"
522.0,"GETTER AND SETTER METHODS class Animal(obje def init (self, age) - selfage e = age self.name = None def str (self) : return ""animal:""+str(self.name)+"":""+str(self.age) Getters and setters should be used outside of class to accessdata attributes 6.100L Lecture 19"
526.0,"GETTER AND SETTER METHODS class Animal(objeot): def - init(self, age): self.age = age self.name = None def str self: return ""animal:""+strself.name)+""""+strself.age A Getters and setters should be used outside of class to access data attributes 6.100L Lecture 19"
532.0,"GETTER AND SETTER METHODS class Animalobject): def init self, age): self.age = age self.name = None def str (self) return ""animal:""+strself.name)+""""+strself.age) Getters and setters should be used outside of class to accessdata attributes 6.100L Lecture 19"
548.0,Getter access
550.0,Gett acce
552.0,111
554.0,"GETTER AND SETTER METHODS Talking: Ana Bell class Animalobject): def init (self, age): self.age = age self.name =None def -str (self): return ""animal:""+strself.name)+"":""+strself.age) def get ageself: return self.age def get nameself: return self.name def set ageself, newage): self.age = newage def set name(self, newname=""""): self.name = newname Getters and setters should be used outside of class to access dataattributes 6.100L Lecture 19"
558.0,"GETTER AND SETTER METHODS Talking class Animal(object): def init (self, age):. self.age = age self.name = None def -str (self) : return ""animal:""+str(self.name)+"":""+str(self.age) def get ageself): return self.age getter def get nameself): return self.name def set age(self, newage): self.age = newage def set nameself, newname=""""): self.name = newname Getters and setters should be used outside of class to access data attributes 6.100L Lecture 19"
572.0,"GETTER AND SETTER METHODS clas Animal(object) def - init (self, age): self.age = age self.name = None def -strself): return ""animal +strseIf.name+"":+strself.age def get_age(self) : return self.age getter ef get nameself: eturn self.name def set ageself, newage: self.age = newage def set nameself, newname="": self.name = newname Getters and setters should be used outside of class to access data attributes 5.100 Lee 19"
