start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python 6.100L, Fall 2022 Lecture 26: List Access, Hashing, Simulations, and Wrap-Up Ana Bell MIT OCW ocw.mit.edu BY NC SA"
26.0,EXIT
30.0,OUT
32.0,TODAY A bit about lists Hashing Simulations 6.100L Lecture 26
62.0,TODAY A bit about lists Hashing Simulations
76.0,Talking: A
84.0,LISTS 5
92.0,LISTS
96.0,LISTS X2
98.0,LISTS
104.0,append .delete . copy reverse . iteration . in list
106.0,COMPLEXITY OF SOME PYTHON OPERATIONS - Lists: n is len (L) .access 0(1) : store 0(1) length 0(1) . append 0(1) == 0(n) delete 0(n) . copy 0(n) reverse 0(n) iteration 0(n) . in list 0(n) 6.100L Lecture 26
158.0,"CONSTANT TIME LIST ACCESS If list is all ints,list of length L Set aside 4len(L) bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element Add 32*i to first location Access that location in memory Constant time complexity"
192.0,Set aside 4 Store value Consecutiv List name po To access ith Add 32*it Access tha Constantt
194.0,Set asid Store va Conseci List name To access Add 32 Access Consta
204.0,"CONSTANT TIME LIST ACCESS allocate fixed length, say 4 bytes If list is all ints, list of length L Set aside 4*len(L) bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element Add 32*i to first location Access that location in memory Constant time complexity 6.100L Lecture 26"
226.0,"CONSTANT TIME LIST ACCESS If list is all ints,list of length L Set aside 4len(L) bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element Add 32*i to first location Access that location in memory Constant time complexity"
262.0,"CONSTANT TIME LIST ACCESS allocate fixed length, 1234 5295 say 4 bytes Starting memory actual value ith int location If list is all ints, list of length L Set aside 4*lenL bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element. Add 32*i to first location Access that location in memory Constant time complexity 6.100L Lecture 26"
288.0,"CONSTANT TIME LIST ACCESS ADY 1234 5295 S ion actualvalue If list is all ints,list of length L Set aside 4len(L)bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element Add 32i to first location Access that location in memory Constant time complexity"
304.0,"CONSTANT TIME LIST ACCESS Hnsts ints,list of length L e 4len(L) bytes slues directly ive set of memory loca ints to first me ry lochion Ad32t. Caretanl iacmgely :"
306.0,"CONSTANT TIME LIST ACCESS allocate fixed length, 1234 5295 say 4 bytes Starting memory actualvalue ith int location If list is all ints, list of length L Set aside 4*len(L) bytes Store values directly Consecutive set of memory locations List name points to first memory location To access ith element. Add 32*i to first location Access that location in memory Constant time complexity 6.100LLecture 26"
324.0,Set aside Store valu -Consecuti List name p To access ith Add 32*i Access th Constant
326.0,Set aside 4*len Store values dir Consecutive set List name points To access ith elen Add 32*i to firs Access that loca Constant time
330.0,InCLCIL Set aside 4 Store value Consecutiv List name po To access ith Add 32*i Access tha Constant
338.0,"CONSTANT TIME LIST ACCESS allocate fixed length,e 1234 5295 say 4 bytes Starting memory actualvalue ith int location If list is all ints, list of length L. This location is. Set aside 4*len(L) bytes 32*i + start location Store values directly Consecutive set of memory locations. List name points to first memory location To access ith element Add 32*i to first location since entries are 4*8=32 bits long Access that location in memory Constant time complexity 6.100L Lecture 26"
340.0,CONSTANT TIME LIST ACCESS If list is heterogeneous Can't store values directly (don't all fit in 32 bits) Use indirection to reference other objects. Store pointers to values (not value itself) Still use consecutive set of memory locations. Still set aside 4*len(L) bytes Still add 32*i to first location and +1 to access that location in memory Still constant time complexity still allocate fixed length units 6.100L Lecture 26
432.0,Still set as Still add 3 Still const pointe
