start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 23: Complexity Classes Examples Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,COMPLEXITY CLASSES EXAMPLES (download slides and.py files to follow along 6.100LLecture 23 Ana Bell
24.0,THETA Theta O is how we denote the asymptotic complexity. We look at the input term that dominates the function. Drop other pieces that don't have the fastest growth Drop additive constants Drop multiplicative constants End up with only a few classes of algorithms We will look at code that lands in each of these classes today 6.100L Lecture 23
90.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters. What are they? def fLL1L2 inLl = False for i in range(len(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 =False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inLl and inL2 6.100LLecture 23"
118.0,"WHERE DOES THE FUNCTION COME EROM? Given code, start with the input parameters. What are they? Only care about code that. repeats wrt these variables. def f (L, L1, L2: inL1 = False for i in range(len(Ll)): if L[i] == Ll[i]: inL1 = True inL2 = False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
166.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters.What are they? Only care about code that repeats wrt these variables tot i n range(lan(L) LL inll -Tru ini2-Fals or 1 in range(lcn(L2)): 2 retugn Inll and inl2"
170.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters.What are they? Only care about code that repeats wrt these variables tor iin range(lan(Ll)) LL inli Tru ini2-Fa retugn inll and inl2"
172.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops. f=1+lenL1*5+1+lenL2*5+2=5*lenL1+5*lenL2+3 If lengths are the same, f = 10*1en(L) + 3 Only care about code that repeats wrt these variables. def f (L, L1, L2: inLl = False for i in range(len(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 = False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
182.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops. f =1+ len(L1)*5 + 1 + len(L2)*5 + 2 = 5*len(L1) + 5*len(L2) + 3 If lengths are the same, f = 10*len(L) + 3 def fLL1,L2 inL1 = False for i in rangelen(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 = False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
222.0,"WHERE DOESTHE EUNCTION COME EROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops f=1+len(L15+1+len(L2)*5+2=5*lenL1+5*lenL2)+3 If lengths are the same, f = 10*len (L) + 3 def f(L, L1, L2): inLl = False fori in.range(len(Ll if Li]==L1[i] inL1 =True Loop repeats as a inL2 = False function of input for i in rangelen(L2)): if L[i] L2[i|: inL2 =True retuin inLl and inL2 6.100L Lecture 23"
224.0,"WHERE DOES THE FUNCTION COME EROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops. f =1 +len(L1)*5+ 1 + len(L2)*5 + 2 =5*len(L1) + 5*len(L2) + 3 If lengths are the same, f = 10*len(L) + 3 def fLL1L2 inLl = False fori in rangelen(Ll): if L[i] ==L1[i]: inL1 = True Loop repeats as a inL2 = False function of input for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
230.0,"WHERE DOES THE FUNCTION COME EROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops. f=1 + len(L1)*5 + 1 +len(L2)5+ 2 =5*len(L1) + 5*len(L2) + 3 If lengths are the same, f = 10*len(L) + 3 def fLL1, L2 inL1 = False for i in range(len(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 = False foriin range(len(L2)): if L[i] ==L2[i] inL2 = True return inL1 and inL2 Loop repeats as a function of input 6.100L Lecture 23"
268.0,"WHERE DOES THE FUNCTION COME FROM? Given code, start with the input parameters. What are they? Come up with the equation relating input to number of ops. f=1+lenL1*5+1+lenL2*5+2=5*lenL1+5*lenL2+3 If lengths are the same, f = 10*len(L) + 3 O(f) = 0 (10*len(L) + 3) = O(len(L)) def fL, L1, L2: inL1 = False for i in range(len(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 = False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
306.0,"WHERE DOES THE FUNCTION COME FROM? A quicker way: no need to come up with the exact formula. Look for loops and anything that repeats wrt the input. parameters. Everything else is constant.. deffLL1,L2 inL1 = False for i in range(len(Ll)): if L[i] ==Ll[i]: inL1 = True inL2 = False for i in range(len(L2)): if L[i] == L2[i]: inL2 = True return inL1 and inL2 6.100L Lecture 23"
312.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula Look for loops and anything that repeats wrt the input parameters.Everything else is constant. L L21 inLl Yala for i in rango(lenL: LAL InL1 -tru in rango(len(L2)) L2 nL27 en inli and inl2
314.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula Look for loops and anything that repeats wrt the input parameters.Everything else is constant. L21 inLl Yalae for 1 in rango(len(Ll): ELAI L: inL1-iru range(len(L2)) 2
318.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula. Look for loops and anything that repeats wrt the input parameters.Everything else is constant. dfL2 inLl FaIs for i in rangelenL) LL inL1 -Tro inL2 -Fais or1 range(lenL2 fL]2 inL2-Tru return inll and inL2 6.100LL
322.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula Look for loops and anything that repeats wrt the input parameters.Everything else is constant. dfLL2 inLl FaIs fer i in range(lenL) inL1 -Tro inl2 Fais for in range(len(L2) L]L2 inL2-Tru return inll and inl2
324.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula. Look for loops and anything that repeats wrt the input parameters.Everything else is constant. LL2 inL1 -False for 1 in range(len(Ll)): LAL inLl -True inl2 -Fais rar 1 in range(len(L2)) 2 return inl1 and inL2 EECLLO
328.0,WHERE DOES THE FUNCTION COME FROM? A quicker way:no need to come up with the exact formula Look for loops and anything that repeats wrt the input parameters.Everything else is constant. Only care about code thar repeats wrt these variables For 1 in range(len(L)) LL inll -True inl2 -Fal rr 1 in range(len(L2)) 2 return inll and inL2 ESECLLIO
