start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 1: Introduction to Cs and Programming. Using Python Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information. MIT OCW c BYNC SA
18.0,Talicing Ana Bell WELCOME! (download slides and .py files from the class site to follow along 6.100L Lecture 1 Ana Bell
34.0,WELCOME! (download slides and.py files from the dlass site to follow along) Ana Bell
60.0,"TODAY = Talking: Ana Bell Course info What is computation Python basics Mathematical operations Python variables and types NOTE: slides and code files up before each lecture Highly encourage you to download them before class. Take notes and run code files when I do Do the in-class""You try it"" breaks Class will not be recorded Class will be live-Zoomed for those sick/quarantine 6.100L Lecture 1"
122.0,"6.100L Finger Ex. Scores Problem Sets About Help. anabell SUCCEEDING Help Queue Course Info Introduction to CS Style Guide Programming Resourc in this CLASS and Programming General MIT Help Forum 6.s061 Talking. MITx 6.0001 Position yourself to succeed! Attend lecture and be present Read psets when they come out (just skim quickly) Save late days for emergency situations Download code before lecture/video and follow along Participate in class with the""You try it""breaks Learning to program Can't passively absorb programming as a skill Extra practice: MITx optional finger exercises, Programming Resources Get help early: Piazza, office hours Optional recitation:Go to it or go through notes afterwards! 6.100L Lecture 1"
152.0,Talking PROBLEM SOLVING KNOWLEDGE PROGRAMMING OF CONCEPTS SKILL 6.100L Lecture 1
166.0,= Talking: Ana Bell PROBLEM SOLVING LECTURES KNOWLEDGE PROGRAMMING OF CONCEPTS SKILL EXAMS 6.100LLecture1
198.0,TOPICS = Tafking: Ans Bell Solving problems using computation Python programming language Organizing modular programs Some simple but important algorithms Algorithmic complexity 6.100L Lecture1
304.0,= Talking: Ana Bell LET'S GOOOOO!
306.0,"TYPES of KNOWLEDGE = Talking: Ana 8ell Declarative knowledge is statements of fact Imperative knowledge is a recipe or ""how-to' Programming is about writing recipes to generate facts 6.100L Lecture 1"
338.0,"NUMERICAL EXAMPLE Talking: Ana Bell Square root of a number x is y such that y*y = x Start with a guess, g. 1) If g*g is close enough to x, stop and say g is the answer 2) Otherwise make a new guess by averaging g and x/g. 3 Using the new guess, repeat process until close enough Let's try it for x = 16 and an initial guess of 3. 6.100LLecture 1"
372.0,"NUMERICAL EXAMPLE Talking: Ana Bell Square root ofa number x is y such that y*y = x Start with a guess, g 1) If g*g is close enough to x, stop and say g is the answer Otherwise make a new guess by averaging g and x/g 3) Using the new guess, repeat process until close enough. Let's try it for x = 16 and an initial guess of 3. 6.100L Lecture 1"
394.0,"NUMERICAL EXAMPLE Talkcing: Ana Bell -Square root of a number x is y such that y*y = x Start with a guess, g 1) If g*g isclose enough to x, stop and say g is the answer. 2) Otherwise make a new guess by averaging g and x/g. 3 Using the new guess,repeat process until close enough Let's try it for x = 16 and an initial guess of 3. g*g x/g (g+x/g)/2 3 9 16/3 4.17 6.100L Lecture1"
410.0,"NUMERICAL EXAMPLE Talking: Ana Bell -Square root ofa number x is y such that y*y = x Start with a guess, g. 1) If g*g is close enough to x, stop and say g is the answer 2) Otherwise make a new guess by averaging g and x/g Using the new guess, repeat process until close enough Let's try it for x = 16 and an initial guess of 3 g*g x/g (g+x/g)/2 3 9 16/3 4.17 6.100LLecture1"
456.0,4.0035 16.0277 PNN
468.0,"NUMERICAL EXAMPLE = Talking: Ana Bell -Square root ofa number x is y such that y*y = x Start with a guess, g 1) If g*g is close enough to x, stop and say g is the answer 2) Otherwise make a new guess by averaging g and x/g 3) - Using the new guess, repeat process until close enough Let's try it for x = 16 and an initial guess of 3 g g*g x/g (g+x/g)/2 3 9 16/3 4.17 4.17 17.36 3.837 4.0035 4.0035 16.0277 3.997 4.000002 6.100L Lecture1"
484.0,WE HAVE an ALGORITHM = Talking: Ana Bell 1) Sequence of simple steps. 2) Flow of control process that specifies when each step is executed 3) A means of determining when to stop. 6.100LLecture 1
522.0,"ALGORITHMS are RECIPES/ RECIPES are ALGORITHMS = Talking: Ana Belld Bake cake from a box 1) Mix dry ingredients 2) Add eggs and milk 3) Pour mixture in a pan 4)Bake at 350F for 5 minutes 5) Stick a toothpick in the cake 6a If toothpick does not come out clean,repeat step 4 and 5 6b) Otherwise, take pan out of the oven. 7) Eat 6.100L Lecture 1"
540.0,"ALGORITHMS are RECIPES / RECIPES are ALGORITHMS Bake cake from a box 1) Mix dry ingredients. 2) Add eggs and milk 3) Pour mixture in a pan 4)Bake at 350F for 5 minutes 5) Stick a toothpick in the cake 6a If toothpick does not come out clean, repeat step 4 and 5 6b) Otherwise, take pan out of the oven 7) Eat 6.100L Lecture1"
574.0,"COMPUTERS are MACHINES that EXECUTE ALGORITHMS = Talking Ana Bell Two things computers do: Performs simple operations 100s of billions per second Remembers results 100s of gigabytes of storage! What kinds of calculations? Built-in to the machine, e.g.+ Ones that you define as the programmer The BIG IDEAhere? 6.100L Lecture 1"
596.0,A COMPUTER WILL ONLY DO WHAT YOU TELL IT TO DO = Talking: Ana Bell 6.100LLecture1
624.0,COMPUTERS are MACHINES that EXECUTE ALGORITHMS = Talking: Ana Bell - Fixed program computer Fixed set of algorithms What we had until 1940s Stored program computer Machine stores and executes instructions Key insight: Programs are no different from other kinds of data
666.0,STORED PROGRAM COMPUTER = Talking: Ana Bell Sequence of instructions stored inside computer Built from predefined set of primitive instructions 1) Arithmetic and logical 2) Simple tests 3) Moving data Special program (interpreter) executes each instruction in order Use tests to change flow of control through sequence Stops when it runs out of instructions or executes a halt instruction 6.100LLecture 1
700.0,= Talking: Ana Bell 6.100LLecture 1
704.0,g euy bu MEMORY INPUT OUTPUT 6.100LLecture 1
710.0,Talking: Ana Bell MEMORY INPUT OUTPUT 6.100LLecture1
716.0,Talking: Ana Bell MEMORY ARITHMETIC LOGIC UNIT do primitive ops INPUT OUTPUT 6.100LLecture1
728.0,3456 3 7889 5 3457 4 7890 2 3458 7891 Talking: Ana Bell MEMORY 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 ARITHMETIC Add 7889 7890 Store 7891 NT LOGTCUNIT Compare 3458 7891 Print INPUT OUTPUT 6.100LLecture1
732.0,3456 3 7889 5 3457 4 7890 2 3458 7891 Teang Amllell MEMORI 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 LD OILANHCTIN Add 7889 7890 Store 7891 IN LOOTC UNTT ompare 3458 7891 Print 6.100l Lecture
740.0,3456 3 7889 5 3457 4 7890 2 3458 7891 Eand Ana le MEMOR 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 ARITHMETIC Add 7889 7890 Store 7891 LOGIC UNIT Compare 3458 7891 Print 6 100LLoe!
756.0,3456 3 7889 5 3457 4 7890 2 = 3458 7891 Taang Ana llell MEMORY 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 UDA ARITHMETIC Add 7889 7890 Store 891 INIT - LOGIC UNIT Compare 3458 7001 Print B.iOL Lectre
762.0,3456 3 7889 5 3457 4 7890 2 3458 7891 Ting Ann Bell MEMORY 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 ARITHMETI Add 7889 7890 Store 7891 LOGIC UNT Compare 3458 7891 Print 5.inol. Lecture
766.0,3456 3 7889 5 3457 4 7890 2 = 3458 7891 g Ana el MEMOR 3459 True 7892 3460 7893 3461 False 7894 Add 3456 3457 Store 3458 ARITHME Add 7889 7890 Store 7891 LOGIC NTT Compare 3458 7891 Print 6.100t Lecturei
770.0,3456 3 7889 5 3457 4 7890 2 = 3458 7891 g Ana el MEMORY 3459 True 7892 3460 7893 3461 False 7894 Add 345S 3457 Store 3458 ARITHOCTIC Add 7889 7890 tore 7891 IN LOCIC UNTT Compare 3458 7891 Print UTPUT 6.1001 Lectuei
