start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 16: Recursion on Non-Numerics. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information MIT OCW c BYNCSA
18.0,NUMERICS (download slides and .py files to follow along) 6.100L Lecture 16 Ana Bell
20.0,6.100L Lecture Ana Bell
24.0,= Talking: Ana Bell RECURSION ON NON- NUMERICS (download slides and .py files to follow along. 6.100L Lecture 16 Ana Bell
32.0,5
54.0,1
56.0,5
60.0,5 . fen
62.0,"REVIEW OF RECURSION FROM LAST LECTURE. WITH AN EXAMPLE Talking: Ana Bell Fibonacci numbers (circa 1202) Leonardo of Pisa (aka Fibonacci) modeled rabbits mating (under certain assumptions) as a Fibonacci sequence Month Females newborn pair of rabbits (one female, one male). are put in apen 1 rabbits mate at age of one month 2 rabbits have a one month gestation period 3 2 assume rabbits never die, that female always produces one new pair (one male, one female) 4 3 each month from its second month on 5 5 females(n) = females(n-1) + females(n-2) 6 8 + 7 13 Females alive in Every female alive at month n-1 month n-2 will produce one female in month n 6.100L Lecture 16"
70.0,"REVIEW OF RECURSION FROM LAST LECTURE, WITH AN EXAMPLE Talking: Ana Bell Fibonacci numbers (circa 1202) Leonardo of Pisa (aka Fibonacci) modeled rabbits mating (under certain assumptions) as a Fibonacci sequence Month Females newborn pair of rabbits (one female, one male) are put in apen 1 rabbits mate at age of one month 2 rabbits have a one month gestation period 3 2 assume rabbits never die, that female always. produces one new pair (one male, one female) 4 3 each month from its second month on 5 5 females(n) = females(n-1) + females(n-2) 6 8 7 13 Females alive in Every female alive at month n-1 month n-2 will produce one female in month n 6.100L Lecture 16"
108.0,"REVIEW OF RECURSION FROM LAST LECTURE. WITH AN EXAMPLE = Talking: Ana Bell Fibonacci numbers (circa 1202) Leonardo of Pisa (aka Fibonacci) modeled rabbits mating (under certain assumptions as a Fibonacci sequence Month Females newborn pair of rabbits (one female, one male) are put in a pen 1 rabbits mate at age of one month 2 rabbits have a one month gestation period 3 2 assume rabbits never die, that female always produces one new pair (one male, one female) 4 3 each month from its second month on 5 5 females(n) = females(n-1) + females(n-2) 6 8 1 7 13 Females alive in Every female alive at month n-1 month n-2 will produce one female in month n 6.100L Lecture 16"
126.0,FIBONACCI Talking: Ana Bell Base cases: Females(1) = 1 Females(2) = 1 Recursive case Females(n) = Females(n-1) + Females(n-2) 6.100L Lecture 16
146.0,"FIBONACCLRECURSIVE CODE (MULTIPLE BASE CASES) Talking: Ana Bell def fib(x): Two base cases, because have two if x == 1 or x == 2: recursive calls in general case. return 1 else: return fib(x-1) + fib(x-2) Two base cases Calls itself twice. But! It has to go to the base case of the first fib call before completing the second fib call. 6.100L Lecture 16"
208.0,HIGH-LEVEL VIEW OF def fib(x): FIBONACCl with ifx==1orx==2: RECURSION return 1 = else: Talking: Ana Bell PYTHON TUTOR LINK return fib(x-1) + fib(x-2) 6.100L Lecture 16
234.0,HIGH-LEVEL VIEW OF def fibx FIBONACCI with ifx=1orx==2: RECURSION return1 else: PYTHON TUTOR LINK return fibx-1) + fibx-2) Fib(6)
240.0,HIGH-LEVEL VIEW OF def fibx: FIBONACCI with ifx=s return RECURSION else: PYTHON TUTOR LINK retu Prbie
244.0,HIGH-LEVEL VIEW OF def fib(x): FIBONACCL with ifx==1orx== 2: RECURSION return 1 = else: alking: PYTHON TUTOR LINK return fib(x-1) + fib(x-2) Fib(6) 6.100L Lecture 16
278.0,HIGH-LEVEL VIEW OF def fibx: FIBONACCI with ifx==1orx==2 return 1 RECURSION else: PYTHON TUTOR LINK return fib(x-1) + fibx-2) Fib(6) Fib(5)
284.0,HIGH-LEVEL VIEW OF fibis FIBONACCI with RECURSION PYTHON TUTOR LINK Fib( Fib(5)
286.0,HIGH-LEVEL VIEW OF def fibx FIBONACCI with if x==1orx=2: RECURSION return 1 else: PYTHON TUTOR LINK return fib(x-1) + fibx-2) Fib(6) Fib(5)
290.0,HIGH-LEVEL VIEW OF e fb FIBONACCI with RECURSION PYTHON TUTOR LINK rete Fib(6)
292.0,HIGH-LEVEL VIEW OF der fib FIBONACCI with ==lorx RECURSION return 1 PYTHON TUTOR LINK return fib(x-1) + fib FALIO
294.0,HIGH-LEVELVIEW OP def fib(x): FIBONACCl with ifx==1orx==2: RECURSION return 1 else: Talking: Ana Bell PYTHON TUTOR LINK return fib(x-1) + fib(x-2) Fib(6) Fib(5) 6.100LLecture 16
