start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 12: List Comprehension, Functions as Objects,. Testing, and Debugging. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information MIT OCW c BYNCSA
30.0,"LIST COMPREHENSION Talking: Ana Bell FUNCTIONS AS OBJECTS TESTING, DEBUGGING (download slides and .py files to follow along) 6.100L Lecture 12 Ana Bell"
62.0,LIGHTS
68.0,"LIST COMPREHENSIONS ralking Applying a function to every element of a sequence, then creating a new list with these values is a common concept Example: def f(L): Lnew = [] for e in L Lnew.append(e**2) return Lnew Python provides a concise one-liner way to do this, called a list comprehension Creates a new list Applies a function to every element of another iterable Optional, only apply to elements that satisfy a test [expression for elem in iterable if test] 6.100L Lecture 12"
118.0,"LIST COMPREHENSIONS Applying a function to every element of a sequence, then. creating a new list with these values is a common concept. Example: New Ist def f(L): Lnew =] Function to apply for e in L: Lnew.append( e**2 return Lner. Python provides a concise one-liner way to do this, called a list comprehension Creates a new list Applies a function to every element of another iterable Optional, only apply to elements that satisfy a test. 6.1001 Lecture 12"
180.0,"LIST COMPREHENSIONS Talking: Ana Belld Create a new list, by applying a function to every element of another iterable that satisfies a test def f(L): Lnew = [] for e in L: Lnew.append(e**2) return Lnew 6.100L Lecture 12"
200.0,"LIST COMPREHENSIONS Create a new list, by applying a function to every element of another iterable that satisfies a test New list Lnew=[] for ein L: Lnew = [e**2 for e in L] Lnew.append(e**2) return Lnew 6.100L Lecture 12"
220.0,"LIST COMPREHENSIONS = Talking: Ana Bell Create a new list, by applying a function to every element of another iterable that satisfies a test def f(L): Lnew = [] for e in L?. Lnew = [e**2] for e in L] Lnew.append (e**2 return Lnew Function to apply 6.100L Lecture 12"
228.0,"LIST COMPREHENSIONS Create a new list, by applying a function to every element of another iterable that satisfies a test def f(L): Lnew = [] for e in L: Lnew = [e**2 for e in L] Lnew.append (e**2) A return Lnew Function to apply 6.100L Lecture 12"
242.0,"LIST COMPREHENSIONS Talking: Ana Bell Create a new list, by applying a function to every element of another iterable that satisfies a test def f(L): Lnew = [] Look at every for e in L:. element Lnew = [e**2 [for e in L. Lnew.append(e**2) return Lnew 6.100L Lecture 12"
260.0,"LIST COMPREHENSIONS Create a new list, by applying a function to every element of another iterable that satisfies a test. def fL: Lnew=[] Look at every for e in L: element Inew=[e**2 for e in L Lnew.append(e**2) return Lnew 6.100L Lecture 12"
264.0,"LIST COMPREHENSIONS Talking: Ana Bell Create a new list, by applying a function to every element of another iterable that satisfies a test. def f(L): Lnew = [] for e in L: Lnew = [e**2 for e in L] Lnew.append(e**2) return Lnew def f(L): Lnew = [] for e in L: if e%2==0: Lnew.append(e**2) return Lnew 6.100L Lecture 12"
