start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 5: Floats and Approximation Methods. Ana Bell MIT oCW ocw.mit.edu BY NC SA"
12.0,5
24.0,Talkinc FLOATS and APPROXIMATION METHODS (download slides and .py files to follow along) 6.100L Lecture 5 Ana Bell
32.0,"OUR MOTIVATION FROM LAST LECTURE Talking x = 0 for i in range(l0): x += 0.1 print(x == 1) print(x, '==', 10*0.1) 6.100L Lecture 5"
96.0,INTEGERS Talking Integers have straightforward representations in binary The code was simple (and can add a piece to deal with negative numbers) ifnum<0 is neg = True num =absnum else: is_neg =False result = ifnum ==0: result=0' while num > 0: result =str(num%2) + result num=num//2 if is neg: result ='_+ result 6.100L Lecture 4
124.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) if num<0: is_neg = True num=abs(num lse: is_neg = False result if num == result=0' while num >0: result = strnum%2 Fresult num=num//2 if is ne 6.100L Lecture 4
128.0,INTEGERS ralking Integers have straightforward representations in binary The code was simple (and can add a piece to deal with negative numbers) if num<0: is neg = True num =absnum) else: is_neg = False result if num ==0: result='0' while num > 0: result = str(num%2) + result num=num//2 if is_neg: result ='_'+ result 6.100L Lecture 4
150.0,19
152.0,1910
156.0,INTEGERS Talking Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is neg = True num=absnum) else: is neg = False result if num ==0: while num> 0: result = str(num%2) + result num=num//2 if is_neg: result ='_+ result 6.100L Lecture 4
168.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg = True num = abs(num) else: is_neg = False result if num result=0 while num>0: result =str(num%2) + result num =num//2 ifisr eq resu. _ + result 6.100L Lecture 4
170.0,INTEGERS Talking Integers have straightforward representations in binary The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is neg =True num = absnum) else: is neg = False result if num==0: result=0' while num> 0: result = str(numa) + result num=num//2 if is_neg: result ='_+ result 6.100L Lecture 4
176.0,1910
182.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg = True num = abs(num) else: is_neg = False if num resul .0. while um>0: esult =strnum%2) + resu1 num=num//2 if is_neg: A result = '_ + result 6.100LLecture 4
184.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg = True num =abs(num) else: is_neg = False result if num ==0: result while num > result tr(num%2) + result V num=num /2 if is neg: result + result OL Lecture 4
186.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum s_neg = True num =abs(num) else: is_neg = False result = if num result=0 num>0: str(num +result num=num//2 if is neg: result ='_+ result 6.100L Lecture 4
188.0,INTEGERS Talking Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) if num<0: is neg = True num =absnum) else: is_neg = False result if num ==0: result='0' while num >0: result = str(num%2) + result num=num//2 if is_neg: result = '- + result 6.100L Lecture 4
190.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg =True num= abs(num) else: is_neg = False result = if num resul .0. while num > 0: result = str(num%2) + result =num//2 V num ifisr neg: result _+ result 6.100L Lecture 4
196.0,INTEGERS Talking Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) if num<0: is neg = True num=absnum) else: is_neg = False result if num ==0: result=0' while num >0: result = str(num%2) + result num =num// if is_neg: result ='_+ result 6.100L Lecture 4
198.0,1910
202.0,1910 1
204.0,1910
206.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg = True num =abs(num) is_neg =False result if num== 0: result while num > 0: result r(num%2) + result num=num if is neg: result _+ result 6.100L Lecture 4
208.0,INTEGERS Talking Integers have straightforward representations in binary The code was simple (and can add a piece to deal with negative numbers) if num<0: is_neg = True num=abs(num) else: is_neg = False result if num==0: result=0' while num 0: result = str(num%2) + result num=num//2 if is_neg: result ='_'+ result 6.100L Lecture 4
218.0,1910
220.0,1910 11 9
238.0,1910 011 6
246.0,011
248.0,0011 612
250.0,0011
252.0,1910 0011
262.0,10011 1121
264.0,10011 6
266.0,INTEGERS ralking Integers have straightforward representations in binary The code was simple (and can add a piece to deal with negative numbers) if num<0: is_neg = True num=abs(num) else: is_neg = False result if num ==0: result=0' while num > 0: result = str(num%2) + result num=num//2 if is_neg: result ='_+ result 6.100L Lecture 4
274.0,10011
278.0,19 10011 10
280.0,10011
282.0,1910 10011 7 6
284.0,1910 10011 Z
286.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers if num 0: _neg =True num =abs(num) else: is_neg = False resu if nu 0 resu 10 while num result= str(num%z) +result num=num//2 if is neg: result =t+ result 6.100L Lecture 4
288.0,INTEGERS Talking Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) if num<0: is neg = True num=absnum) else: is_neg = False result if num ==0: result='0' while num >0: result =str(num%2) + result num=num//2 if is neg: result = '-! + restlt 6.100L Lecture 4
314.0,INTEGERS Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) ifnum<0: is_neg =True num se: is_neg = False result = if num==0: while num >0: result = str(num%2) result num=num//2 is neg: result + result 6.100LLecture 4
316.0,INTEGERS Talking Integers have straightforward representations in binary. The code was simple (and can add a piece to deal with negative numbers) if num<0: is neg = True num=absnum else: is_neg = False result if num ==0: result='0' while num >0: result = str(num%2) + result num=num//2 if is_neg: result = - + result 6.100L Lecture 4
326.0,19 -10011 10 6121
328.0,-10011 10 Z
330.0,19 -10011 10 7 6121
332.0,19 -10011 10 7
338.0,-10011 1210
340.0,"FRACTIONS What does the decimal fraction O.abc mean?. a*10-1+b*10-2+c*10-3 For binary representation, we use the same idea a*2-1+ b*2-2+c*2-3 Or to put this in simpler terms, the binary representation of a decimal fraction f would require finding the values of a, b, c, etc. such that f=0.5a+0.25b+0.125c+0.0625d+0.03125e +.. 6.100L Lecture 5"
352.0,19 -10011 10
354.0,Or to put 1910 decimalfi -10011 etc. such. f=0.5a 1210
356.0,Or to put this in s decimal fraction. 10011 etc. such that f=0.5a+0.25b 210
362.0,-10011 b
368.0,1910 -10011 Z
370.0,-10011 Z
384.0,1910 -10011 Z
386.0,10011 Z
388.0,1910 -10011 Z
390.0,INTEGERS Inteers ave straghtorward representations in binary. The code was simple and can add a piece to deal with negative numbers Quiz today Sign out at the fror it rba)ret before leaving .res
398.0,1910 -10011 Z 11210
400.0,19 -10011 10 Z
402.0,10011 Z 2
404.0,1910 -10011 Z 6
416.0,"FRACTIONS What does the decimal fraction O.abc mean?. a*10-1+b*10-2+c*10-3 For binary representation, we use the same idea a*2-1+ b*2-2+c*2-3 Or to put this in simpler terms, the binary representation of a decimal fraction f would require finding the values of a, b, c, etc. such that f =0.5a+0.25b+0.125c +0.0625d+0.03125e +.. 6.100L Lecture 5"
482.0,121
492.0,2
494.0,I 2
496.0,1210
502.0,1910 -10011
504.0,-10011 6 1210
506.0,1910 -10011 2
508.0,"WHAT ABOUT FRACTIONS? How might we find that representation? In decimal form: 3/8 = 0.375 = 3*10-1 + 7*10-2 + 5*10-3 Recipe idea: if we can multiply by a power of 2 big enough to turn into a whole number, can convert to binary, and then. divide by the same power of 2 to restore 0.375 * (2**3) = 310 Convert 3 to binary (now 112) Divide by 2**3 (shift right three spots) to get 0.011,. 6.100L Lecture 5"
550.0,-10011 11210
552.0,-10011 - 6121 C
554.0,-10011
566.0,-10011 61 2
568.0,"WHAT ABOUT FRACTIONS? How might we find that representation? In decimal form: 3/8 = 0.375= 3*10-1 + 7*10-2 + 5*10-3 Recipe idea: if we can multiply by a power of 2 big enough to turn into a whole number, can convert to binary, and then divide by the same power of 2 to restore 0.375 * (2**3) = 310 Convert 3 to binary (now 112) Divide by 2**3 (shift right three spots) to get 0.011, 6.100L Lecture 5"
606.0,"WHAT ABOUT FRACTIONS? How might we find that representation? In decimal form: 3/8 = 0.375= 3*10-1 + 7*10-2 +5*10-3 Recipe idea: if we can multiply by a power of 2 big enough to turn into a whole number, can convert to binary, and then divide by the same power of 2 to restore Convert 3 to binary (now 112) Divide by 2**3 (shift right three spots) to get 0.011 6.100L Lecture5"
616.0,12
618.0,10011 21
620.0,"WHAT ABOUT FRACTIONS? How might we find that representation? In decimal form: 3/8 = 0.375= 3*10-1 + 7*10-2 + 5*10-3 Recipe idea: if we can multiply by a power of 2 big enough to turn into a whole number, can convert to binary, and then divide by the same power of 2 to restore 0.375 * (2**3) = 310 Convert 3 to binary (now 112) Divide by 2**3 (shift right three spots) to get 0.0112 6.100L Lecture 5"
654.0,-10011 19 10 1121
658.0,"WHAT ABOUT ERACTIONS? How might we find that representation? In decimal form: 3/8 = 0.375= 3*10-1 + 7*10-2 +5*10-3 Recipe idea: if we can multiply by a power of 2 big enough to turn into a whole number, can convert to binary, and then divide by the same power of 2 to restore. 0.375 * (2**3) = 310 Convert 3 to binary (now 12) Divide by 2**3 (shift right three spots) to get 0.011 6.100L Lecture 5"
682.0,"BUT... If there is no integer p such that x*(2p) is a whole number, then internal representation is always an approximation. And I am assuming that the representation for the decimal fraction I provided as input is completely accurate and not already an approximation as a result of number being read into Python Floating point conversion works: Precisely for numbers like 3/8 But not for 1/10 One has a power of 2 that converts to whole number, the other. doesn't 6.100L Lecture 5"
712.0,1210
718.0,5
720.0,5 121
722.0,121
724.0,"BUT... If there is no integer p such that x*(2p) is a whole number, then internal representation is always an approximation. And I am assuming that the representation for the decimal fraction I provided as input is completely accurate and not already an approximation as a result of number being read into Python Floating point conversion works: Precisely for numbers like 3/8 But not for 1/10 One has a power of 2 that converts to whole number, the other. doesn't 6.100L Lecture 5"
728.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking x=0.625 p=0 while2**p*x)%1!=0: p +=1 num=intx*2**p result= if num ==0: result='0 while num >0: result =strnum%2) + result num =num//2 for i in range(p - len(result)): result='0'+ result result=result[0:-p] +.+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
752.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking % grabs the decimal part only. x=0.625 e.g.1.1%1 gives 0.1 p=0 while2**p*x )%1 print('Remainder xdx)u-xd+)xs+ p += 1 num=intx*2**p result= ifnum ==0: result=0' while num >0: result =str(num%2) + result num =num//2 for i in range(p - len(result)) : result = '0' + result result=result[0:-p]+.+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
756.0,"TRACETHROUGH THIS ON YOUR OWN Python Tutor LINK x=0.625 % grabs the decimal part only e,g. 1.1%1 gives 0.1 p=0 while 2**p*x =0: Find power of 2 print (Remainder +str +*p*x-int2**p*x to make integer p+= num=intx*2**p result=.! if num==0: result='0 while num>0: result = strnum%2 + result num=num//2 for i in range(p - len(result)): result ='o + result result=result[0:-p]++result[-p:] print('The binary representation of the decimal + str(x) +is+ str(result)) 6.100L Lecture4"
758.0,TRACE THROUGH THIS ONYOUR OWN Python Tutor LINK Talking: % grabs the decimal part only x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xxdu-xdx+xs+ to make integer p+=1 num=intx*2**p)) result= if num ==0: result ='0' while num >0: result =strnum%2) + result num=num//2 for i in range(p - len(result)): result='o'+ result result=result[0:-p] +'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
764.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only x=0.625 e.g.1.1%1 gives 0.1 p=0 while2**p*x) =0: Find power of 2 print('Remaind xdxu-xdxxs+ to make integer p+=1 num =intx*2**p result = if num ==0: resul+ while num >0: result =strnum%2 + result num =num//2 for i in range(p -lenresult)): result='o+ result result=result[0:-p]+'.+result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture4
766.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK x=0.625 % grabs the decimal part only e.g.1.1%1 gives 0.1 p=0 while2**p*x %1 0: Find power of 2 print('Remainder xdxu-xdxs+ to make integer p+=1 num=intx*2**p)) result= fnum==0: cesult while num >0: result = strnum%2) + result num =num//2 for i in range(p - len(result)): result='o'+ result result = result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
768.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabsthe decimal part only 0.625 e.g. 1.1%1 gives 0.1 =0 hile ((2**p)*x) =0: Find power of 2 print('Remainder xxdxxdxxx to make integer p+=1 num intx*2**p result ifnum==0: result='0 while num >0: result = str(num%2) + result num =num//2 for i in range(p - len(result)): result='o'+ result result = result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
772.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking: % grabs the decimal part only. x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xxd+u-xdxs+ to make integer p +=1 num=intx*2**p) result = if num ==0: result=0 while num >0: result =str(num%2) + result num=num//2 for i in range(p - len(result)): result = '0' + result result=result[0:-p] +'.+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
790.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X=0.625 e.g. 1.1%1 gives 0.1 p=0 while(2**p *x1 =0: Find power of 2 print('Re ainder= +str2**px-int2**p*x to make integer p+=1 num =intx*2**p result=: if num ==0: result='0' while num >0: result = str(num%2) + result num =num//2 for i in range(p - len(result)): result ='o+ result result= result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture4
792.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK grabs the decimal part only x=0.625 e.g. 1.1%1 gives 0.1 p=0 while(2**p)*x) f 0: Find power of 2 print('Remainder + str2**p*x int(2**p)*x)) to make integer p+=1 num =intx*(2**p)) result= if num==0: result ='0' while num >0: result = str(num%2) + result num =num//2 for i in range(p - len(result)): result ='o+ result result= result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture4
796.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking: x=0.625 % grabs the decimal part only e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xd+u-xds+ to make integer p+=1 num =intx*2**p) result= if num ==0: result =0' while num >0: result =strnum%2) + result num =num//2 for i in range(p - len(result)): result='0'+ result result=result[0:-p] +'.+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
806.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X 0.625 e.g.1.1%1 gives 0.1 =0 hile2**p*x Find power of 2 print('Remainder xxdx+x-xd+s to make integer p+=1 nm=intx*2**p) Convert to int resu. if num 0: result while num >0: result = strnum%2 + result num=num//2 for i in range(p - len(result)): result='o+ result result =result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + ' is ' + str(result)) 6.100L Lecture 4
808.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X=0.625 e.g.1.1%1 gives 0.1 p=0 while 2**p*x f1 0: Find power of 2 print('Remainder xd+))uT-Xdxs to make integer p+=1 =intx*2**p Convert to int res ult=. if num ==0: result='0' while num>0: result strnum + result num =num//2 for i in range(p - len(result)): result ='o+ result result = result[0:-p]+'.'+ result[-p:] 6.100L Lecture 4
810.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X=0.625 d wh le2**p*x o1 0: Find power of2 print('Remainder xd+))uT-Xdx to make integer p +=1 num=intx*2**p Convert to int res if nm==0: result='0' while num0: result =strnum%2) + result num =num//2 for i in range(p - len(result)): result ='0+ result result=result[0:-p] +'.'+ result[-p:] 6.100L Lecture4
812.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X=0.625 e.g.1.1%1 gives 0.1 p=0 while 2**p*x f1 =0: Find power of 2 rint('Remainder xd)u-Xxdx)xS to make integer p+=1 num intx*2** Convert to int resu. f if num 0: result=0' while num>0: result trnums2 + result num =num//2 for i in range(p - len(result)): result='o'+ result result= result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
814.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK % grabs the decimal part only X=0.625 e.g.1.1%1 gives 0.1 p=0 whil 2**p*x f1 0: Find power of2 print('Remainder xxdx+u-xxdxx to make integer p +=1 num =intx*2*p Convert to int res if num==0: result =0' while num >0: result strnum%2) + result num =num//2 for i in range(p - len(result)): result='o'+ result result=result[0:-p]+'.'+ result[-p:] 6.100L Lecture 4
816.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking: x=0.625 % grabs the decimal part only e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xxdx+u-xdx+xs to make integer p +=1 num=intx*2**p Convert to int result=, if num ==0: result=0 while num >0: result =str(num%2) + result num =num//2 for i in range(p - len(result)): result = '0' + result result=result[0:-p]+'.+ result[-p:] print('The binary representation of the decimal + str(x) +is + str(result)) 6.100L Lecture 4"
818.0,TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking x=0.625 % grabs the decimal part only. e.g. 1.1%1 gives 0.1 p=0 while2**p*x) Find power of 2 print('Remainder to make integer p +=1 num=intx*2**p)) Convert to int result= if num ==0: result=0' while num >0: result =strnum%2) + result num =num//2 for i in range(p - len(result)):. result = '0' + result result=result[0:-p] +'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4
824.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking. % grabs the decimal part only. x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x 0 Find power of 2 print('Remainder xxdu-xxdx+xs+ to make integer p +=1 num=intx*2**p) Convert to int result= if num ==0: Encode as binary result='0' number, same as while num >0: result =str(num%2) + result prev slide num =num//2 for i in range(p - len(result)): result = '0' + result result=result[0:-p]+'.'+result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4"
826.0,2
828.0,-10011
830.0,9 10011 1210
834.0,19 -10011 10 1210
838.0,19 10011
840.0,19 10011 10 6 1210
848.0,19 10011 10
850.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking: % grabs the decimal part only x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x 0 Find power of 2 print('Remainder xduxdxs+ to make integer p +=1 num=intx*2**p)) Convert to int result=. if num ==0: Encode as binary result=0' while num >0: number,same as result =str(num%2) + result prev slide num =num//2 for i in range(p - len(result)): Pad front with O's, result='o'+ result i.e. shift right result=result[0:-p]+'.'+ result[-p:] print('The binary representation of the decimal + str(x) + is ' + str(result)) 6.100L Lecture 4"
852.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK %grabs the decimal part only X=0.625 e.g.1.1%1 gives 0.1 p=0 while(2**p*x =0: Find power of2 print('Rema inder xd+u-x+dx+s+ to make integer p+=1 num=intx*2**p Convert to int result= ifnum=0 Encode as binary result ='6 while num >0: number,same as A result= strnum%2 + result prev slide num=num//2 tor i in rangep -len esult Pad front with O's result ='o + result i.e.shift right result=result[0:-p|+.+result[-p:] 6.100L Le4"
854.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking % grabs the decimal part only x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xd+ut-xd+xs+ to make integer p +=1 num=intx*2**p)) Convert to int result= if num==0: Encode as binary result=0' while num >0: number,same as result =strnum%2) + result prev slide num=num//2 for i in range(p - len(result)): Pad front with O's, result = '0' + result i.e. shift right result=result[0:-p] +.+ result[-p:] print('The binary representation of the decimal + str(x) + is + str(result)) 6.100L Lecture 4"
856.0,19 10011 10 1210
868.0,"TRACE THROUGH THIS ON YOUR OWN Python Tutor LINK Talking: % grabs the decimal part only x=0.625 e.g. 1.1%1 gives 0.1 p=0 while2**p*x Find power of 2 print('Remainder xdu-xdx+xs+ to make integer p +=1 num=intx*2**p Convert to int result= if num==0: Encode as binary result=0' while num >0: number,same as result =strnum%2) + result prev slide num =num//2 for i in range(p -lenresult)): Pad front with O's, result='o'+result i.e. shift right result=result[0-p]+'.+result[-p] Insert decimal print('The binary representation of the decimal + str(x + is + str(result) 6.100L Lecture 4"
878.0,X pythontutor.com/render.html#code=x%20%3D%200.625%0A%0Ap%20%3D%200%0Awhile%20%28%282**p%29*x%29%251%20!%3D%200%3A%0A%20%20%20%20print%28Remainder. MITOther Al M0C6.00 DriveCanvas: 6.100A6.0012Canvas 6.100L6.100LPhysicscheckof alkin
880.0,"Python Tutor code visualizer: Vi X pythontutor.com/render.html#mode=edit Q Ana MIT Other AI MOOC 6.00 DriveCanvas:6.100A6.0001+2Canvas 6.100L6.100LPhysicscheckoff Other boo Python Tutor: Visualize code in Python, JavaScript, C, C++, and Java Please wait ... your code is running (up to 10 seconds) Why are there ads? Write code in Python 3.6 V 1=0.625 2 3 p=0 while2**p*x%1!=0: A 5 xd**e-xd**s+=ee.eed 6 p+=1 7 8 num=intx*2**p 9 10 result= 11 if num ==0 12 result=0 13 while num >0: 14 result =str(num%2)+ result 15 num=num//2 16 17 for i in rangep-lenresult): 18 result ='0+ result 19 20 result =result[0-p]+.+result[-p] 21 printThe binary representation of the decimal + strx)+is+ str Please wait..executing (lakes up to 10 seconds) hide exited frames [default] ]inline primitives, dont nest objects [defaultdraw pointers as arrows [default Wd 6L"
882.0,X pythontutor.com/render.html#mode=display Q X MIT Other AI MOOC 6.00 Drive Canvas6.100A6.0001+2 Canvas6.100L 6.100LPhysicscheckoff Other book (known limitations) 1. x=0.625 alking 2 3 p=0 4 while2**p*x%1=0 Start 5 print'Remainder=+str2**p*x-int2**p*x Frames Objects 6 p+=1 7 8 num=intx*2**p 3 Easy Steps 9 1.Click Start 10 result= 2.Follow Steps 11 if num==0 3. Browse the Web 12 result=0' 13 while num>0: 14 result =strnum%2)+result Wave Browser 15 num=num//2 16 17 for i in rangep -lenresult) 18 result =0'+result 19 20 result=result[0:-p]+.+result[-p:] Edit this code line that just executed next line to execute 0 <First<Prev Next> Last>>
886.0,Python Tutor code visualizer Vis C pythontutor.com/render.html#mode=display Q MIT Other AI MOOC 6.00 Drive Canvas: 6.100A 6.0001+2 Canvas6.100L 6.100LPhysicscheckoff Other book =0.625 alking 2 3 p=0 4 while2**p*x%1=0 5 print('Remainder= +str2**p*x-int2**p*x Frames Objects 6 p +=1 Global frame 7 num=intx*2**p x0.625 8 9 10 result= 11 ifnum==0 12 result ='0' 13 while num>0: 14 result = str(num%2)+ result 15 num=num//2 16 17 for i in rangep-lenresult: 18 result=0'+result 19 20 result=result[0:-p]+.+result[-p:] Edit this code line that just executed next line to execute c0 <First <Prev Next Last>> Step 2 of 28 + :19 PM
902.0,C pythontutor.com/render.html#mode=display Q MIT Other AI MOOC 6.00 Drive Canvas: 6.100A 6.0001+2 Canvas 6.100L 6.100LPhysicscheckoff Other book (known limitations) Remainder=0.625 alking 1 X=0.625 2 3 p=0 4 while2**p*x%1=0 5 print'Remainder=+str2**p*x-int2**p*x Frames Objects 6 p+=1 Global frame 7 8 num=intx*2**p x0.625 9 p 1 10 result= 11 if num==0 12 result='0 13 while num>0 14 result =str(num%2)+ result 15 num=num//2 16 17 for i in rangep-lenresult)): 18 result='0+ result 19 20 result=result[0:-p]+.+result[-p:] Edit this code line that just executed +next line to execute 0 <First <Prev Next> Last>> 3:19 PM
